NAME,GEO_ID,COUNTRY,LATITUDE,LONGITUDE,TYPE,ACCOM,BATH,ROOMS,BEDS,PRICE
Luxurious & spacecious apartm. with garden 6sleep,NL,Netherlands,52.36117305,4.866754582,Entire home/apt,6,1,2,6,$145.00 
Great app near Jordaan +2 bikes,NL,Netherlands,52.37023656,4.859506674,Entire home/apt,2,1,1,1,$88.00 
"Trendy apartment, near Vondelpark",NL,Netherlands,52.36201576,4.86687246,Entire home/apt,2,1,1,1,$130.00 
Modern apartment in Amsterdam West,NL,Netherlands,52.36582593,4.858177973,Entire home/apt,4,1,2,3,$110.00 
(Balcony with) canal view Oud-West,NL,Netherlands,52.36417929,4.86488485,Entire home/apt,2,1,1,1,$115.00 
Nicest and coziest place next to Vondelpark&Leidse,NL,Netherlands,52.35975308,4.866176048,Private room,1,1,1,1,$70.00 
Adorable house with garden in popular 'Old West',NL,Netherlands,52.36787039,4.864128893,Entire home/apt,2,1.5,1,1,$120.00 
Very quiet room | King Bed | Close to the center,NL,Netherlands,52.3734097,4.865153998,Private room,2,1,1,1,$45.00 
"Lovely Budget B&B, 1 or 2 persons",NL,Netherlands,52.37364212,4.860512821,Private room,2,,1,,$45.00 
Charming apartment canal view ,NL,Netherlands,52.36869081,4.873708175,Entire home/apt,4,1,2,3,$240.00 
Lovely apartment in West Amsterdam,NL,Netherlands,52.37142387,4.848644115,Entire home/apt,2,1,1,1,$130.00 
Your 'own' place in old Amsterdam,NL,Netherlands,52.36984071,4.871609848,Entire home/apt,3,1,1,2,$185.00 
Central Amsterdam Beautiful Apt close 2 Vondelpark,NL,Netherlands,52.35825578,4.855552858,Entire home/apt,3,1,1,1,$145.00 
Twilight Twinkle luxury apartment.,NL,Netherlands,52.36690303,4.875590282,Entire home/apt,4,2,2,5,$300.00 
Room for 2 in canal view apartment,NL,Netherlands,52.3698725,4.864414307,Private room,2,1,1,1,$85.00 
Easy accessible 2 bdrm apartment with big garden.,NL,Netherlands,52.36038456,4.853597743,Entire home/apt,3,1,2,2,$179.00 
|Warm and charming apt in Amsterdam Oud -West|,NL,Netherlands,52.36107403,4.852444997,Entire home/apt,4,1,2,2,$205.00 
Beautiful family house at park,NL,Netherlands,52.36433142,4.872225283,Entire home/apt,5,1,3,5,$175.00 
Yellow Studio Palamedes Amsterdam,NL,Netherlands,52.36342384,4.875577271,Private room,2,1,1,2,$110.00 
Design Loft near Vondelpark,NL,Netherlands,52.36315367,4.863677537,Entire home/apt,2,1,0,1,$120.00 
"Warm,lovely,new furnished apartment",NL,Netherlands,52.37116651,4.853362177,Entire home/apt,4,1,2,2,$120.00 
A cosy apartment in Amsterdam!,NL,Netherlands,52.36104184,4.863302655,Entire home/apt,2,1,1,1,$130.00 
Lovely aparment near city centre,NL,Netherlands,52.36631646,4.850724953,Entire home/apt,2,1,1,1,$90.00 
"HOUSEBOAT smokefree, unique at good located Canal",NL,Netherlands,52.36613083,4.875869405,Entire home/apt,4,1,1,2,$149.00 
Canal view apt-ment near Vondelpark,NL,Netherlands,52.363016,4.860288441,Entire home/apt,4,1,2,2,$190.00 
Sunny spacious apartment centrally located,NL,Netherlands,52.35889818,4.855014327,Entire home/apt,2,1,1,1,$100.00 
Spacious apartment in Old West,NL,Netherlands,52.37096756,4.851893978,Entire home/apt,2,1,1,1,$99.00 
Cosy and light appartment in West,NL,Netherlands,52.37098716,4.854547435,Private room,2,1,1,1,$40.00 
Apartment with beautiful view,NL,Netherlands,52.36631019,4.869518437,Entire home/apt,2,1,1,1,$115.00 
Modern Canal View Apartment,NL,Netherlands,52.36221615,4.86309676,Entire home/apt,2,1,1,1,$110.00 
Cozy apartment in lively Amsterdam,NL,Netherlands,52.37336501,4.853131886,Entire home/apt,4,1,2,2,$100.00 
2 bedroom appartement in the heart of de Baarsjes!,NL,Netherlands,52.36679384,4.861459998,Entire home/apt,4,1,2,2,$140.00 
Spacious familyhouse + sunny garden,NL,Netherlands,52.36403433,4.852074807,Entire home/apt,4,2,4,6,$350.00 
New apartment and near to center! ,NL,Netherlands,52.36967796,4.861326471,Entire home/apt,4,1,2,2,$175.00 
Jeroen's City Center Apt. - Amsterdam Room,NL,Netherlands,52.36879723,4.86610166,Private room,3,0.5,1,2,$100.00 
Spacious and modern apartment near Vondelpark,NL,Netherlands,52.36102082,4.863533608,Entire home/apt,2,2,1,1,$140.00 
Modern apartment near Vondelpark in Amsterdam West,NL,Netherlands,52.35877574,4.85784251,Entire home/apt,2,1,1,1,$125.00 
Amazing family house Amsterdam next to Vondelpark,NL,Netherlands,52.36245254,4.873641671,Entire home/apt,4,1,4,4,$300.00 
HUGE TERRACE APT. IN AMSTERDAM NEXT TO VONDELPARK!,NL,Netherlands,52.36073162,4.858175131,Entire home/apt,3,1,1,1,$140.00 
Cosy Canal Studio,NL,Netherlands,52.36233321,4.86633891,Private room,2,2,1,1,$65.00 
Lovely apt. on a great location,NL,Netherlands,52.36896912,4.863060387,Entire home/apt,2,1,1,1,$110.00 
"Quiet apartment in ""Oud-West"", near the Vondelpark",NL,Netherlands,52.36036819,4.86261546,Entire home/apt,2,1,1,1,$120.00 
"Renovated house, sunny garden. 10 min from center",NL,Netherlands,52.37007814,4.848620548,Entire home/apt,2,1,2,1,$99.00 
"Vondel House, Guest Room 2",NL,Netherlands,52.36030013,4.866272464,Private room,2,1,1,1,$74.00 
Large modern apartment - rooftop terrace,NL,Netherlands,52.36729952,4.850915376,Entire home/apt,4,1,2,2,$215.00 
Central Location - balcony on canal,NL,Netherlands,52.37281591,4.874319305,Entire home/apt,4,1.5,3,4,$129.00 
LIVIAâ€™S HIDEAWAY 5: VONDEL A,NL,Netherlands,52.36118241,4.85698386,Entire home/apt,4,3,3,3,$235.00 
Amazing 2p apt near the Leidse square and Jordaan!,NL,Netherlands,52.36722857,4.875445833,Entire home/apt,2,1,1,2,$180.00 
2 br. apartment in nieuw-west,NL,Netherlands,52.36717581,4.864843635,Entire home/apt,4,1,2,2,$200.00 
"Big apartment panoramic rooftop, no cleaning costs",NL,Netherlands,52.37018082,4.8668774,Entire home/apt,4,1,2,2,$169.00 
Welcome in my place and enjoy it!,NL,Netherlands,52.36946369,4.858968588,Entire home/apt,2,1,1,1,$119.00 
Beautiful apartment near vondelpark,NL,Netherlands,52.35973384,4.85765332,Entire home/apt,4,1,2,2,$111.00 
Double size family home near centre,NL,Netherlands,52.36944078,4.859282424,Entire home/apt,4,1,2,4,$189.00 
Luxurious house with king size and sunny garden,NL,Netherlands,52.37313012,4.860679432,Entire home/apt,2,1,1,1,$118.00 
Bright apartment @ trendy Oud West,NL,Netherlands,52.36292409,4.864188335,Entire home/apt,2,1,1,1,$112.00 
Light & Stylish 2 room apartment,NL,Netherlands,52.36734818,4.851977517,Entire home/apt,2,1,1,1,$99.00 
family loft in centre on canal,NL,Netherlands,52.36943678,4.873592384,Entire home/apt,4,2,3,4,$250.00 
Cozy empty room with balcony near Centrum,NL,Netherlands,52.36672943,4.865582616,Private room,2,1,1,1,$69.00 
"Central light apartment, 2-4 p.",NL,Netherlands,52.36701937,4.875875921,Private room,4,1,1,2,$100.00 
Spacious & supurb family house in Amsterdam West,NL,Netherlands,52.3674449,4.854906051,Entire home/apt,4,1.5,3,4,$150.00 
Modern Apt + Centre+ 2 Bikes,NL,Netherlands,52.37029733,4.849237373,Entire home/apt,3,1,1,2,$85.00 
Park view room close to city centre,NL,Netherlands,52.36681597,4.850861058,Private room,2,1,1,1,$90.00 
Your second home in Amsterdam ,NL,Netherlands,52.36164262,4.873643099,Entire home/apt,3,1,1,2,$97.00 
cozy bedroom in a canal view apt,NL,Netherlands,52.36496185,4.856146035,Private room,2,1,1,1,$73.00 
Spacious apartment in the center!,NL,Netherlands,52.36341042,4.874024586,Entire home/apt,2,1,1,1,$99.00 
UNIQUE city center barge,NL,Netherlands,52.37192376,4.87416627,Entire home/apt,4,1,1,2,$120.00 
Modern apartment near vondelpark,NL,Netherlands,52.36291837,4.853864683,Private room,2,1,1,1,$65.00 
Charming + Best Location ever!,NL,Netherlands,52.36364481,4.875892859,Entire home/apt,3,1,1,3,$120.00 
Beautiful apartment near to the famous Vondelpark!,NL,Netherlands,52.36153293,4.861432971,Entire home/apt,2,1,1,1,$120.00 
Cosy & Hip Appartment in Oud-West,NL,Netherlands,52.36581621,4.867227421,Entire home/apt,2,1,1,1,$100.00 
Modern cosy place nearby Vondelpark,NL,Netherlands,52.36196136,4.853509647,Entire home/apt,2,1,1,1,$99.00 
"Central, Bright and Spacious Apartment",NL,Netherlands,52.36206586,4.864055207,Entire home/apt,4,1,1,2,$120.00 
"Lovely apartment on canal, 5mins from centre",NL,Netherlands,52.37218719,4.866410369,Entire home/apt,2,1,1,1,$100.00 
The Market,NL,Netherlands,52.36633229,4.865934716,Entire home/apt,2,1,1,1,$99.00 
Private rooms near centre & musea!,NL,Netherlands,52.37188901,4.862749874,Private room,2,1,1,1,$90.00 
Spacious room close to Vondelpark,NL,Netherlands,52.35986603,4.85869206,Private room,2,2,1,1,$49.00 
Nice modern apartment in West!,NL,Netherlands,52.36755872,4.850349517,Entire home/apt,3,1,2,2,$89.00 
Nice apartment with Balcony & Jacuzzi,NL,Netherlands,52.37236493,4.850561721,Private room,2,1,1,1,$85.00 
EasyLife,NL,Netherlands,52.36722001,4.870207423,Private room,1,1,1,1,$80.00 
Room near the city center,NL,Netherlands,52.37387964,4.861930953,Private room,2,1,1,1,$70.00 
Modern,NL,Netherlands,52.37231186,4.850489945,Entire home/apt,2,1,1,2,$110.00 
Spacious bedroom and livingroom,NL,Netherlands,52.36325539,4.877404341,Private room,2,1,1,1,$130.00 
Central located house with garden in Hip West area,NL,Netherlands,52.36571503,4.864126212,Entire home/apt,2,1,1,1,$90.00 
"Cozy appartement in Amsterdam, vlakbij de metro",NL,Netherlands,52.31799576,4.979164019,Entire home/apt,3,1,0,1,$55.00 
"Pop B&B - free parking, sauna, terraces canal view",NL,Netherlands,52.32154571,4.960180648,Private room,2,1.5,1,1,$40.00 
Cozy room in the SE of Amsterdam,NL,Netherlands,52.32211295,4.962641105,Private room,2,1,1,1,$45.00 
Nice Studio next to the metro station,NL,Netherlands,52.31754735,4.980948182,Entire home/apt,2,1,0,1,$70.00 
Best cost benefit room near a metro station,NL,Netherlands,52.31563541,4.978166362,Private room,2,1,1,1,$70.00 
"Max 5pple private room, 15mins to Centrum by metro",NL,Netherlands,52.32300471,4.976624504,Private room,5,1,1,4,$30.00 
Arena Stadion BnB,NL,Netherlands,52.32323914,4.962712645,Private room,2,1,1,1,$50.00 
Budget Apartment close to city center Amsterdam,NL,Netherlands,52.32464559,4.97512837,Entire home/apt,4,1,1,1,$70.00 
Green oasis in Amsterdam for 2 or 1,NL,Netherlands,52.32046543,4.986541824,Private room,2,1,1,2,$40.00 
"2-bedroom apartment, 15mins to Ams Centre by metro",NL,Netherlands,52.32124796,4.978588037,Entire home/apt,10,1,2,8,$142.00 
"PRIVE Studio, AFAS, ZIGGOdm, ArenA",NL,Netherlands,52.31526767,4.982268691,Entire home/apt,3,1,1,2,$69.00 
Cozy room in the SE of Amsterdam,NL,Netherlands,52.32100584,4.961115221,Private room,2,1,1,1,$42.00 
Amsterdam Zuidoost BnB,NL,Netherlands,52.32222508,4.964297763,Private room,2,1,1,,$50.00 
Open space Apartment 60m2,NL,Netherlands,52.32555562,4.977012657,Entire home/apt,4,1,1,2,$99.00 
"Your second home in Amsterdam - visit ""The Pearl""!",NL,Netherlands,52.32205696,4.981409644,Private room,2,1.5,1,1,$59.00 
spacious apartment with a free parking,NL,Netherlands,52.32177196,4.977301466,Entire home/apt,4,1,1,3,$70.00 
Cosy apartment for 2-4 people,NL,Netherlands,52.32113544,4.965789108,Entire home/apt,4,1,1,3,$80.00 
Two story family house with garden.,NL,Netherlands,52.31288906,4.980151237,Entire home/apt,5,1,4,4,$90.00 
B&B# green oasis with free parking,NL,Netherlands,52.31978425,4.962587247,Private room,2,1.5,1,1,$59.00 
Kl. schÃ¶nes sauberes Zimmer,NL,Netherlands,52.32208137,4.976243649,Private room,2,1,1,1,$90.00 
"Bright room, green park, arty flat!",NL,Netherlands,52.32466336,4.974472865,Private room,4,1,1,2,$50.00 
Comfy room in Amsterdam Zuid Oost!!,NL,Netherlands,52.32375392,4.968984909,Private room,1,1,1,1,$45.00 
Zimmer in Amsterdam 25 min zur City,NL,Netherlands,52.32305787,4.977671258,Private room,2,1,1,1,$85.00 
Big & Modern Apartment Amsterdam,NL,Netherlands,52.31771825,4.978720765,Entire home/apt,3,1.5,1,2,$98.00 
Wonderful room near metro&Center 3,NL,Netherlands,52.3181105,4.97822275,Private room,2,1,1,1,$59.00 
Luxery apartment near metro,NL,Netherlands,52.31637789,4.982909355,Entire home/apt,4,1,2,1,$130.00 
Ajax BnB lovely house in Amsterdam Zuidoost,NL,Netherlands,52.32277003,4.962173336,Private room,2,1,1,1,$50.00 
spacious apartment with a free parking,NL,Netherlands,52.32321717,4.979045263,Entire home/apt,4,1,1,2,$80.00 
"Soulful, spacious three-room apartment with garden",NL,Netherlands,52.31052812,4.971338114,Entire home/apt,4,1,2,5,$120.00 
Sunny Vintage Apartment,NL,Netherlands,52.32185125,4.974270641,Entire home/apt,4,1,2,2,$99.00 
"Flat, 15min metro Amsterdam center",NL,Netherlands,52.32104252,4.977695125,Private room,2,1,1,1,$30.00 
Cozy room in the vibrant area of Amsterdam,NL,Netherlands,52.32256252,4.972250339,Private room,2,1,1,1,$50.00 
GroundFloor Appartment in Amsterdam,NL,Netherlands,52.31865017,4.977307165,Entire home/apt,4,1,2,3,$120.00 
Sunny and cozy room close to metro,NL,Netherlands,52.32173948,4.97852242,Private room,2,1,1,1,$40.00 
An stylish room in a green area,NL,Netherlands,52.32454814,4.975968403,Private room,2,1,1,1,$65.00 
Cozy room in a quiet neighborhood,NL,Netherlands,52.32378862,4.981497042,Private room,2,1,1,1,$55.00 
Cosy House in quite Area,NL,Netherlands,52.3133275,4.972282263,Entire home/apt,5,1,3,2,$36.00 
"Big apartment, 110mÂ_, 2 bedrooms, 2wc,free parking",NL,Netherlands,52.32127464,4.969673062,Entire home/apt,4,1,2,2,$125.00 
Comfortable light 90 sq mtr apartment with view,NL,Netherlands,52.32149481,4.978443345,Entire home/apt,4,1,2,4,$115.00 
Twin/Double Room in Amsterdam Zuidoost,NL,Netherlands,52.31778063,4.973615867,Private room,2,1,1,2,$29.00 
"Nice & peaceful apt w/ garden, 20min from city ctr",NL,Netherlands,52.3198037,4.982041119,Entire home/apt,3,1.5,1,1,$98.00 
Amsterdam 96 m2 family Apartment,NL,Netherlands,52.31779549,4.980784324,Entire home/apt,4,1.5,3,3,$130.00 
Lovely room 15 min to city center. Free parking,NL,Netherlands,52.317601,4.985381723,Private room,2,1,1,1,$40.00 
