NAME,GEO_ID,COUNTRY,LATITUDE,LONGITUDE,TYPE,ACCOM,BATH,ROOMS,BEDS,PRICE
Room in Sant Antoni huge terrasse,ES,Spain,41.38084421,2.163839678,Private room,2,1,1,1,$39.00 
"Next To Las Ramblas, Unique, Wif1",ES,Spain,41.37971214,2.1644658,Entire home/apt,2,1,1,1,$60.00 
Sunny whole flat in Raval/Ramblas,ES,Spain,41.38096332,2.165327414,Entire home/apt,2,1,0,1,$55.00 
Apartment in the heart of Barcelona,ES,Spain,41.37778018,2.165550858,Entire home/apt,4,1,2,2,$99.00 
Centric Bohemian next Ramblas&Macba,ES,Spain,41.38083805,2.16457495,Entire home/apt,4,1,1,4,$45.00 
Habitacion Single Exterior,ES,Spain,41.38384017,2.168082002,Private room,1,1.5,1,1,$25.00 
Beautiful Apartment in City D,ES,Spain,41.37859516,2.165212757,Entire home/apt,6,1,2,4,$79.00 
single room,ES,Spain,41.38412486,2.169632419,Private room,1,2,1,1,$21.00 
BOQUERIA!!!RAMBLA!!!DOUBLE ROOM FOR RENT,ES,Spain,41.38138352,2.170023193,Private room,2,1,1,1,$40.00 
Apartamento para famillas Barcelona,ES,Spain,41.37783208,2.164800995,Entire home/apt,7,1.5,3,4,$98.00 
Beautiful apt double terrace center,ES,Spain,41.37921053,2.164212919,Entire home/apt,4,1,2,2,$60.00 
Modern Loft DBL Room w/ Balcony,ES,Spain,41.37867519,2.166933873,Private room,2,1,1,1,$42.00 
Lovely LOFT in el Raval (city centre),ES,Spain,41.377542,2.164761939,Entire home/apt,4,1,1,2,$70.00 
Pop Apartment next to LA RAMBLA,ES,Spain,41.37760437,2.167288942,Entire home/apt,4,1,2,3,$65.00 
å_§ãÅçãÅèç¶ºéº—ãÅªå¿«éÅ©ãƒèã‚_ã‚_ã€‚Big comfortable house,ES,Spain,41.37832311,2.16653309,Private room,1,1,1,1,$36.00 
HabitaciÃ_n en el centro de Barcelona,ES,Spain,41.3814864,2.171883083,Private room,2,2,1,1,$55.00 
Centrical  room OldCity Breakfast,ES,Spain,41.37922252,2.164494237,Private room,2,1,1,1,$27.00 
"Flat in Raval, 3mn from Metro L3",ES,Spain,41.37810234,2.166495247,Entire home/apt,4,1,2,2,$525.00 
HabitaciÃ_n doble en el Raval,ES,Spain,41.38176033,2.169608417,Private room,2,1,1,1,$45.00 
Cosy central flat w/ terrasse,ES,Spain,41.38060007,2.166143954,Entire home/apt,3,1,1,2,$90.00 
Ocio y cultura,ES,Spain,41.3804848,2.163641794,Private room,2,1,1,1,$30.00 
Sunny room in Raval Center,ES,Spain,41.38017785,2.167823732,Private room,2,1,1,1,$55.00 
Central double room Sunny Terrace,ES,Spain,41.37975541,2.165554126,Private room,2,1,1,1,$65.00 
HABITACION BALCON y CAMA DOBLE,ES,Spain,41.38357139,2.169724366,Private room,2,2,1,1,$45.00 
CHIC BEAUTIFUL SUITE in arty centric flat,ES,Spain,41.38371642,2.16869195,Private room,2,2,1,1,$60.00 
COZY CENTRIC 2BD WITH LOVE,ES,Spain,41.37843778,2.16447382,Entire home/apt,5,1,2,2,$47.00 
BHNflats4u 103,ES,Spain,41.37738613,2.165956715,Entire home/apt,6,1,1,3,$75.00 
Cool Flat in Barcelona Center!,ES,Spain,41.38042069,2.167702253,Entire home/apt,6,1,3,3,$120.00 
Hermoso apartamento en Sant Antoni,ES,Spain,41.38033858,2.164926974,Entire home/apt,4,1,1,1,$165.00 
Charming and enchanting penthouse,ES,Spain,41.38033751,2.166717598,Entire home/apt,2,1,1,1,$125.00 
Barcelona Central  Flat,ES,Spain,41.38008857,2.167672752,Entire home/apt,6,1,2,6,$19.00 
Side street from Las Ramblas ,ES,Spain,41.38345874,2.168846468,Private room,2,1,1,1,$30.00 
"Quiet double, stylish central flat",ES,Spain,41.3781163,2.166287225,Private room,2,1,1,1,$25.00 
Barcelona old town single room,ES,Spain,41.3788023,2.165752703,Private room,1,1,1,1,$40.00 
Nice & Quite room Raval BoquerÃ_a center,ES,Spain,41.38189294,2.172397387,Private room,1,1,1,1,$36.00 
Central doble room private terrace,ES,Spain,41.38245769,2.168570568,Private room,2,2,1,1,$49.00 
Rooftop In the Heart of Barcelona !!,ES,Spain,41.38322104,2.171102609,Private room,2,1,1,1,$61.00 
Huge & Bright bedroom in our Home (Pl. Catalunya),ES,Spain,41.38387176,2.169635121,Private room,2,1,1,2,$60.00 
