NAME,GEO_ID,COUNTRY,LATITUDE,LONGITUDE,TYPE,ACCOM,BATH,ROOMS,BEDS,PRICE
1 Bedroom Apartment For Short Term,IE,Ireland,53.33869571,-6.234601104,Private room,2,1,1,1,$120.00 
Large Ensuite Bedroom with Balcony,IE,Ireland,53.34874434,-6.260862376,Private room,2,1,1,1,$75.00 
Private & Spacious Ensuite Double Bedroom,IE,Ireland,53.35983301,-6.296731316,Private room,2,1,1,1,$69.00 
"Industrial City Centre, D2",IE,Ireland,53.34240979,-6.24373039,Private room,2,2,1,1,$140.00 
Stunning City Centre Luxury  -New-,IE,Ireland,53.35477703,-6.257874666,Entire home/apt,4,1,2,2,$129.00 
Whole 2 bed Apt near TEMPLE BAR,IE,Ireland,53.35253246,-6.262745616,Entire home/apt,4,1,2,2,$124.00 
Victorian Style 4 Bed City Centre,IE,Ireland,53.33198809,-6.227409461,Entire home/apt,7,2,4,4,$450.00 
Nice apartment in super location .,IE,Ireland,53.34681056,-6.254482361,Entire home/apt,6,1,2,5,$160.00 
"Comfortable double, great location",IE,Ireland,53.32085043,-6.244353375,Private room,2,1,1,1,$65.00 
Nice bedroom in city center,IE,Ireland,53.3530683,-6.249697782,Private room,2,1,1,1,$67.00 
Double room in nice house close to all amenities,IE,Ireland,53.39103409,-6.312057763,Private room,1,1,1,1,$45.00 
Bed & Breakfast near City Centre,IE,Ireland,53.33365529,-6.269403326,Private room,3,1,1,2,$85.00 
Modern Cottage :),IE,Ireland,53.39117712,-6.30035896,Private room,3,1,1,2,$50.00 
Lovely room next to Temple Bar area,IE,Ireland,53.34190175,-6.27507449,Private room,2,1,1,2,$190.00 
Comfy dbl. bedroom - close to CityCentre & Airport,IE,Ireland,53.37343278,-6.238558396,Private room,2,1,1,1,$38.00 
Twin Double Bedroom in Rathmines,IE,Ireland,53.32216857,-6.27250008,Private room,2,1,1,2,$70.00 
3 x Double Bedroom House & Garden,IE,Ireland,53.36489798,-6.182637679,Entire home/apt,6,1.5,3,3,$195.00 
One Bedroom Suite,IE,Ireland,53.33391753,-6.256531426,Private room,2,1,1,1,$159.00 
Top Foor Dble room+Balcony&View. 3,IE,Ireland,53.3477,-6.236858666,Private room,2,1,1,1,$67.00 
The Hatch Home,IE,Ireland,53.33363559,-6.256342635,Private room,2,1,1,1,$100.00 
Cozy Single Room in Grand Canal Docks (Tech HQ's),IE,Ireland,53.34242177,-6.233430007,Private room,1,1.5,1,1,$55.00 
Attic with a View &  Private Bathrm,IE,Ireland,53.36637759,-6.27375465,Private room,3,1,1,2,$68.00 
Modern Duplex - 2 Double beds,IE,Ireland,53.33666575,-6.291732641,Entire home/apt,4,1,1,2,$117.00 
