NAME,GEO_ID,COUNTRY,LATITUDE,LONGITUDE,TYPE,ACCOM,BATH,ROOMS,BEDS,PRICE
"Lucrezia's Room,Collina B&B",IT,Italy,41.92103642,12.45259504,Private room,2,1,1,1,$58.00 
single room,IT,Italy,41.89131974,12.50133019,Private room,1,2,1,1,$50.00 
Barberini Blue Suite,IT,Italy,41.90396867,12.49124187,Private room,2,1,1,1,$150.00 
Nel cuore di trastevere,IT,Italy,41.8909095,12.46926158,Private room,2,1,1,1,$96.00 
Double Room Casa Barberini,IT,Italy,41.90377864,12.48664058,Private room,2,1,1,2,$89.00 
4BROS B.H. Trionfale / 36,IT,Italy,41.91369975,12.44947899,Private room,2,1,1,1,$120.00 
Triple comfortable room,IT,Italy,41.90359515,12.49335541,Private room,3,1,1,3,$125.00 
Sistina Vatican Room: TRIPLE with private bathroom,IT,Italy,41.90970793,12.45301568,Private room,4,1,1,3,$90.00 
JUNIOR SUITE MONSERRATO! ,IT,Italy,41.89598253,12.46889763,Entire home/apt,4,1,1,3,$179.00 
TRASTEVERE GRAND FLAT 3 - RHOME4U,IT,Italy,41.88905512,12.47044331,Entire home/apt,5,1,1,4,$69.00 
"Cosy, Clean, Comfy in Rome center",IT,Italy,41.87768383,12.47050084,Entire home/apt,2,1,1,1,$90.00 
â™¥â™• Rome Center Trastevere WiFi â™•â™¥,IT,Italy,41.88903709,12.47034551,Entire home/apt,6,2,3,4,$90.00 
Charme e comfort in Roma's heart,IT,Italy,41.9014382,12.47155869,Entire home/apt,7,2,2,5,$200.00 
STYLISH APARTMENT IMPERIAL FORUM,IT,Italy,41.8912107,12.48471276,Entire home/apt,4,1,2,2,$120.00 
Dimora dei sogni al vaticano Rosa,IT,Italy,41.91290387,12.45292362,Private room,2,1,1,2,$50.00 
"Rome sweet Rome, Piazza Navona",IT,Italy,41.89832624,12.46890156,Entire home/apt,2,1,1,1,$73.00 
SOLO ...20â‚¬ a notte a persona!?! SI,IT,Italy,41.87956169,12.47183983,Entire home/apt,4,1,2,2,$80.00 
"Trastevere,Heart of Rome. INSULA",IT,Italy,41.88853621,12.47550442,Entire home/apt,4,1,1,2,$100.00 
Suite Liberty,IT,Italy,41.91461181,12.45243627,Private room,3,1,1,3,$75.00 
Barberini Luxury Rooms - Junior Suite,IT,Italy,41.90247124,12.48979877,Private room,4,1,1,2,$140.00 
double room with en-suite bathroom,IT,Italy,41.91044386,12.44719201,Private room,3,1,1,2,$65.00 
Apartment Testaccio,IT,Italy,41.87924973,12.47327367,Entire home/apt,3,1,1,2,$95.00 
B&B per 4 vicino P. Spagna,IT,Italy,41.90280313,12.4899571,Private room,4,1,1,2,$98.00 
Testaccio roof top home,IT,Italy,41.87667511,12.48254352,Entire home/apt,2,1,1,2,$59.00 
Luxury loft Lungaretta Trastevere,IT,Italy,41.88975802,12.47556586,Entire home/apt,4,1,1,4,$180.00 
