NAME,GEO_ID,COUNTRY,LATITUDE,LONGITUDE,TYPE,ACCOM,BATH,ROOMS,BEDS,PRICE
Appartamento luminoso e centrale,IT,Italy,45.43453459,12.33665998,Entire home/apt,4,1,1,1,$130.00 
FENICEFLAT APARTMENT IN VENICE,IT,Italy,45.43524699,12.32983596,Entire home/apt,4,1,1,2,$105.00 
Rialto Franklin,IT,Italy,45.43760794,12.33710427,Entire home/apt,4,1,2,4,$150.00 
Nice flat in the heart of Venice,IT,Italy,45.43430004,12.33059383,Entire home/apt,4,1,1,1,$120.00 
"""Conca San Luca""  (San Marco/Rialto)",IT,Italy,45.435138,12.33598501,Entire home/apt,7,2,3,5,$169.00 
Attic with GrandCanal Views,IT,Italy,45.4338627,12.32865126,Entire home/apt,4,2,2,4,$270.00 
"Casa tipica veneziana ""Le lanterne""",IT,Italy,45.43457264,12.32957679,Entire home/apt,2,1,1,2,$120.00 
APARTMENT FROM 2 TO 4 PERSONS DEC.,IT,Italy,45.43355837,12.33402671,Entire home/apt,4,1,1,3,$136.00 
Palazzo with Canal View,IT,Italy,45.43587123,12.3342353,Private room,2,1,1,1,$85.00 
Camera vista canale a San Marco,IT,Italy,45.43279298,12.33375738,Private room,3,1,1,1,$89.00 
Cozy bedroom next to Piazza S.Marco,IT,Italy,45.43224784,12.33320153,Private room,2,1,1,1,$85.00 
"At Canal Grande, bedroom in a palazzo near Rialto",IT,Italy,45.43514047,12.33116155,Private room,2,1,1,1,$89.00 
"""Dolce Vita"" beautiful room next to San Marco",IT,Italy,45.43330869,12.33448639,Private room,2,2,1,2,$59.00 
Central dble bedrm ensuite bathrm2,IT,Italy,45.43313508,12.32850498,Private room,2,1,1,1,$95.00 
venetian style superior doubleroom ,IT,Italy,45.43510879,12.33455066,Private room,4,1,1,1,$100.00 
Ca'Ju,IT,Italy,45.43183885,12.33035886,Private room,3,1,1,2,$100.00 
Corte Barozzi Venice Suites,IT,Italy,45.43367728,12.33477188,Private room,2,1,1,1,$500.00 
IRIS SINGLE ROOM VENICE CENTER - ST. MARK'S SQUARE,IT,Italy,45.43403405,12.33687214,Private room,1,1,1,1,$59.00 
Venetian style room  5 mins from Piazza San Marco,IT,Italy,45.43319053,12.33297529,Private room,3,1,1,2,$90.00 
Charming room with balcony close to S. Mark's,IT,Italy,45.4322146,12.3341116,Private room,4,1,1,2,$105.00 
Large Twin Room in Venice Center,IT,Italy,45.43259567,12.33050602,Private room,3,1,1,2,$99.00 
Large Room in Venice Double bed,IT,Italy,45.43630981,12.33661746,Private room,2,1,1,1,$65.00 
City centre Lux serviced apartment,IT,Italy,45.43347559,12.3356545,Private room,2,1,0,1,$139.00 
Lovely Stay at San Marco,IT,Italy,45.43318792,12.3368385,Private room,2,1,1,1,$49.00 
Ca' delle Carozze,IT,Italy,45.43433384,12.32910559,Private room,2,1,1,1,$100.00 
Camera vista canale a San Marco,IT,Italy,45.43257544,12.33347552,Private room,2,0,1,1,$100.00 
Charming room with private bathroom,IT,Italy,45.43294667,12.33023406,Private room,2,1,1,1,$80.00 
Perfect location - Ca' Morosini,IT,Italy,45.43337647,12.32952493,Private room,3,1,1,3,$80.00 
Red house,IT,Italy,45.43563003,12.33790026,Private room,2,1,1,1,$45.00 
The balcony room at St. Mark Square,IT,Italy,45.43660518,12.33607265,Private room,2,2,1,1,$80.00 
very central bright double room,IT,Italy,45.43202902,12.33356303,Private room,2,1,1,1,$100.00 
B&B Locanda ArtíÂ,IT,Italy,45.43233089,12.32836098,Private room,2,1,1,1,$45.00 
LILIA ROOM IN VENICE CENTER - ST. MARK'S SQUARE,IT,Italy,45.43296085,12.33586955,Private room,2,1,1,1,$79.00 
PALAZZO DEL GIGLIO ****  BILOCALE Angolo Cottura,IT,Italy,45.43337059,12.33374586,Private room,3,1,1,3,$100.00 
Ca' dei Fuseri di Paolo Poggi,IT,Italy,45.43408681,12.33472877,Private room,2,1,1,1,$115.00 
Spaziosa camera a San Marco,IT,Italy,45.43448373,12.33399576,Private room,3,1,1,1,$80.00 
Sant'Angelo for 2,IT,Italy,45.43377066,12.33127827,Private room,2,1,1,1,$155.00 
Camera privata,IT,Italy,45.43419687,12.32953039,Private room,2,1,1,1,$110.00 
B&B Room in Venice close San Marco,IT,Italy,45.43543157,12.33924061,Private room,2,1,1,1,$116.00 
Rio Verona A,IT,Italy,45.43547308,12.33354113,Entire home/apt,2,1,1,1,$160.00 
Few steps from the Rialto Bridge,IT,Italy,45.43538097,12.33022551,Entire home/apt,4,1,1,2,$144.00 
FEW STEPS FROM SAINT MARK SQUARE,IT,Italy,45.43356567,12.33586151,Entire home/apt,6,2,2,2,$200.00 
San Marco flat,IT,Italy,45.43436607,12.32971539,Entire home/apt,2,1,1,2,$100.00 
The Sforza House,IT,Italy,45.43367581,12.32828858,Entire home/apt,5,1,2,5,$130.00 
"CANAL VIEW, NEAR ST.MARK SQUARE",IT,Italy,45.43554773,12.33729964,Entire home/apt,4,1,2,3,$180.00 
San Marco Style with Terrace,IT,Italy,45.43347833,12.32930901,Entire home/apt,4,1,1,2,$147.00 
Bright and stylish in top location,IT,Italy,45.43251264,12.32880996,Entire home/apt,5,1,1,5,$160.00 
Casa Zucchi | Grand Canal Apartment,IT,Italy,45.43278041,12.33201782,Entire home/apt,4,2,2,2,$370.00 
Special apartment for loving people,IT,Italy,45.43405123,12.33527784,Entire home/apt,4,,1,4,$140.00 
"The Pearl, studio in Venice",IT,Italy,45.43511828,12.33282557,Entire home/apt,2,1,1,1,$120.00 
San Marco Apartment with Canal View,IT,Italy,45.43292528,12.33367837,Entire home/apt,3,1,1,1,$98.00 
The roof room at St. Mark Square ,IT,Italy,45.43534201,12.33592127,Private room,3,1,1,2,$80.00 
Calle dei Fuseri,IT,Italy,45.43434601,12.33607436,Entire home/apt,2,1,1,2,$110.00 
B&B-Double room share bathroom,IT,Italy,45.435374,12.33353012,Private room,2,0.5,1,1,$112.00 
Romantic flat in San Marco,IT,Italy,45.43254944,12.32860976,Entire home/apt,3,1,1,1,$125.00 
CRí_ME CARAMEL:BIENNALE AREA & WIFI,IT,Italy,45.43422639,12.34019442,Entire home/apt,4,1,1,2,$100.00 
Appartamento a San Marco,IT,Italy,45.43477468,12.33916586,Entire home/apt,2,1,1,2,$86.00 
Your Suite by St.-Mark's Square,IT,Italy,45.43278395,12.33494297,Entire home/apt,4,1,1,1,$120.00 
Only a stone's throw from San Marco,IT,Italy,45.43405696,12.33481603,Entire home/apt,2,1,1,1,$170.00 
SAN MARCO TREASURE,IT,Italy,45.43373252,12.33951571,Entire home/apt,4,1,1,1,$90.00 
"Palazzo Regina Vittoria, Venice",IT,Italy,45.43488034,12.33654405,Entire home/apt,4,2,1,2,$185.00 
SweetVenice,IT,Italy,45.43640237,12.3353385,Entire home/apt,4,1,1,1,$90.00 
Amazing almost IN San Mark square!,IT,Italy,45.43558851,12.33833234,Entire home/apt,6,1.5,2,3,$160.00 
"Rialto Pearl,in the heart of Venice",IT,Italy,45.43636637,12.33769653,Entire home/apt,6,1,2,5,$188.00 
Ca' dei Zoti 1 - san Marco,IT,Italy,45.43327206,12.32820231,Entire home/apt,8,2,3,4,$170.00 
R. Baretteri - 2 terrace on canal,IT,Italy,45.43580089,12.33864158,Entire home/apt,2,1,1,1,$145.00 
  WI-FI  Attico a S.Marco,IT,Italy,45.43527857,12.33815373,Entire home/apt,6,1,2,3,$145.00 
Next SAN MARCO  square - with balcony,IT,Italy,45.43409128,12.32997021,Entire home/apt,2,1,1,1,$101.00 
Ca 'Garzoni in the heart of Venice ,IT,Italy,45.43405528,12.32930446,Entire home/apt,2,1,0,2,$120.00 
Romantic room in the heart of San Marco,IT,Italy,45.4339478,12.33520731,Private room,2,1,1,1,$100.00 
SAN MARCO - Ground floor flat in St. Mark's area,IT,Italy,45.43373241,12.32846908,Entire home/apt,2,1,1,1,$99.00 
San Marco top Floor,IT,Italy,45.43691709,12.3351288,Entire home/apt,2,1,1,1,$79.00 
CA' ORLINA - Terraced apartment behind St. Mark,IT,Italy,45.43543244,12.33915771,Entire home/apt,4,1,1,3,$150.00 
Elegant Romantic Attic in San Marco/Fenice Theatre,IT,Italy,45.43440386,12.33657359,Entire home/apt,2,1,1,2,$133.00 
Centralissimo con vista sul Teatro la Fenice,IT,Italy,45.43383122,12.32846069,Entire home/apt,9,2,2,4,$320.00 
Ca'Nal-PUPPARIN with altana terrace S.Mark view,IT,Italy,45.43511696,12.3384189,Entire home/apt,2,1,1,1,$150.00 
The 'Old Venice' Loft in the Heart of S. Marco,IT,Italy,45.43482244,12.33914292,Entire home/apt,4,2,2,2,$200.00 
Loft alla Fenice,IT,Italy,45.4338432,12.32995066,Entire home/apt,6,1.5,2,5,$140.00 
"Ca Leone 3085, the art district in Venice's heart",IT,Italy,45.43411518,12.32916159,Entire home/apt,5,2,2,4,$132.00 
Near San Marco Square apartment 2,IT,Italy,45.4358128,12.33541099,Entire home/apt,6,2,2,2,$236.00 
The Venetian Penthouse,IT,Italy,45.43419479,12.3314101,Entire home/apt,4,2,2,2,$320.00 
DolceVita Apartments 118 San Marco,IT,Italy,45.43470042,12.32856863,Entire home/apt,2,1,1,1,$65.00 
Modern flat in the center of Venice,IT,Italy,45.43290998,12.32901136,Entire home/apt,5,1,1,3,$130.00 
Cíæ Tentor appartamento a Rialto,IT,Italy,45.43695889,12.33690333,Entire home/apt,2,1,1,2,$120.00 
,IT,Italy,45.43371601,12.33518061,Entire home/apt,4,1,1,3,$136.00 
Delightful apartment in San Marco,IT,Italy,45.43490458,12.33797405,Entire home/apt,4,2,2,4,$240.00 
QUIET AND COZY IN SAN MARCO,IT,Italy,45.43381837,12.33091826,Entire home/apt,8,2,3,8,$180.00 
San Marco Apartment,IT,Italy,45.43191942,12.3335072,Entire home/apt,3,1,2,3,$150.00 
central flat with view,IT,Italy,45.43256915,12.33728464,Entire home/apt,3,1,2,1,$109.00 
Apartment Surian - Venice 8 People,IT,Italy,45.43463729,12.33950428,Entire home/apt,8,2,3,2,$270.00 
"Ca' Remer, fantastic Grand Canal views",IT,Italy,45.43615259,12.33325293,Entire home/apt,4,2,2,2,$380.00 
Venice San Marco Square with terrace and Balcony,IT,Italy,45.43747658,12.33752903,Entire home/apt,6,2,2,2,$236.00 
Charming apartment in San Marco,IT,Italy,45.43489108,12.33781308,Entire home/apt,2,1,1,2,$170.00 
SAN MARCO MOONLIGHT ATTIC,IT,Italy,45.43316775,12.33036161,Entire home/apt,2,1,1,1,$130.00 
Assassini,IT,Italy,45.43548693,12.3329652,Entire home/apt,6,2,3,5,$170.00 
Central flat in a typical Venice,IT,Italy,45.43686886,12.33627071,Entire home/apt,4,1,2,4,$49.00 
Angel's view house in San Marco,IT,Italy,45.43250787,12.33682513,Entire home/apt,6,3,3,3,$250.00 
cozy studio very central with wifi,IT,Italy,45.43363222,12.32881771,Entire home/apt,2,1,0,1,$100.00 
Appartamento La Fenice,IT,Italy,45.43560586,12.33136916,Entire home/apt,3,1,2,4,$120.00 
AltanaAlbaChiara BestViewOfVenice,IT,Italy,45.43738713,12.33609595,Entire home/apt,4,2,2,2,$150.00 
"Stylish and 100 meter from San Marco square, sleeps 7",IT,Italy,45.43548837,12.33664955,Entire home/apt,7,2,3,5,$230.00 
Luxury apartment in PiazzaSan Marco,IT,Italy,45.43411759,12.3358695,Entire home/apt,5,1,3,5,$200.00 
Theater Apartament,IT,Italy,45.43637019,12.3374989,Entire home/apt,5,1,1,3,$90.00 
70STEPS! FROM ST. MARK'S CATHEDRAL,IT,Italy,45.43448668,12.33986078,Entire home/apt,4,2,2,2,$100.00 
Centralissimo Ca' Sant' Angelo,IT,Italy,45.43304317,12.33355081,Entire home/apt,5,1,2,3,$270.00 
